Origin,Destination,Travel_Time_Min,Transfers,Target_Flow_Baseline,Predicted_Flow
PRE,MEF,0.41000000000000003,0,0.5029928072028569,0.51553994
PRE,MKK,3.28,1,0.05458992051707575,0.054687966
PRE,MOK,0.08,0,0.8573388203017832,0.8572837
PRE,MOS,11.29,1,0.006620582995297401,0.0066733477
PRE,NAC,4.04,1,0.03936759889140841,0.03927522
PRE,NOP,3.91,1,0.0414798345784197,0.041361578
PRE,NTK,0.7699999999999999,0,0.3191930798940279,0.3160256
PRE,OCP,3.79,1,0.04358418939945346,0.043285854
PRE,OLY,4.22,1,0.036699402533726756,0.03658234
PRE,POA,4.680000000000001,1,0.030995834159888904,0.030614264
PRE,QUB,4.01,1,0.039840478723192345,0.039920446
PRE,SHM,9.719999999999999,1,0.008701826687458234,0.008799443
PRE,SHS,3.9799999999999995,1,0.04032193029144692,0.040317502
PRE,SHT,3.3699999999999997,1,0.05236451989589935,0.052082922
PRE,SHW,3.7,1,0.04526935264825712,0.045126107
PRE,SIH,4.390000000000001,1,0.03442091965813142,0.034237307
PRE,SKM,0.1,0,0.8264462809917354,0.83401775
PRE,SKW,4.299999999999999,1,0.035599857600569614,0.035660736
PRE,SOH,5.510000000000001,1,0.02359598018881503,0.023443304
PRE,SSP,0.15,0,0.7561436672967865,0.761559
PRE,STW,7.6499999999999995,1,0.01336496374753584,0.01339084
PRE,SUN,3.8200000000000003,1,0.04304333603071572,0.04305966
PRE,SUW,3.5799999999999996,1,0.04767262256631261,0.047562882
PRE,SWH,4.209999999999999,1,0.036840418359790905,0.036745522
PRE,SYP,3.7800000000000002,1,0.04376674077834772,0.043285854
PRE,TAK,4.109999999999999,1,0.03829642196529579,0.038313285
PRE,TAP,3.6099999999999994,1,0.04705417346991592,0.047038767
PRE,TAW,3.26,1,0.05510370517313585,0.054687966
PRE,TIH,3.7500000000000004,1,0.0443213296398892,0.0444596
PRE,TIK,1.2200000000000002,0,0.20290560831101367,0.20177197
PRE,TIS,3.95,1,0.040812162024283234,0.040389743
PRE,TKO,4.36,1,0.03480730674983292,0.034852
PRE,TKW,3.5999999999999996,1,0.047258979206049156,0.04723908
PRE,TSH,9.739999999999998,1,0.008669447825529098,0.008799443
PRE,TST,0.43000000000000005,0,0.4890214680424469,0.48668325
PRE,TSW,0.9099999999999999,0,0.27411529289219044,0.2798279
PRE,TSY,3.7300000000000004,1,0.04469693244952598,0.04465444
PRE,TUC,3.9000000000000004,1,0.041649312786339016,0.041395668
PRE,TUM,6.390000000000001,1,0.018310960391561576,0.018102977
PRE,TWH,0.82,0,0.30189590629151075,0.2978037
PRE,TWO,3.8099999999999996,1,0.04322249644494967,0.043285854
PRE,TWW,3.45,1,0.05049867440979674,0.05053343
PRE,UNI,3.5399999999999996,1,0.048516369423043354,0.04835156
PRE,WAC,3.5900000000000003,1,0.047465124999406694,0.047562882
PRE,WCH,4.45,1,0.0336671997306624,0.03353501
PRE,WHA,0.27999999999999997,0,0.6103515625,0.6151494
PRE,WKS,13.29,1,0.004897061322470999,0.004940846
PRE,WTS,0.37,0,0.5327934359848686,0.54113084
PRE,YAT,1.11,0,0.2246131039284831,0.2231926
PRE,YMT,0.16,0,0.7431629013079668,0.7368085
PRE,YUL,3.5900000000000003,1,0.047465124999406694,0.047562882
QUB,ADM,0.49,0,0.4504301608035674,0.44978437
QUB,AIR,9.09,1,0.009822401164543882,0.009746836
QUB,AUS,8.91,2,0.010182459491630528,0.010317262
QUB,AWE,10.29,1,0.007845346258279783,0.00793572
QUB,CAB,0.29000000000000004,0,0.6009254251547382,0.59157366
QUB,CEN,0.56,0,0.41091387245233396,0.41507247
QUB,CHH,3.58,1,0.04767262256631261,0.047562882
QUB,CHW,0.47000000000000003,0,0.46277014207043365,0.46975625
QUB,CIO,11.009999999999998,2,0.006932884821904591,0.0069366577
QUB,CKT,7.009999999999999,2,0.015586010620307643,0.015570697
QUB,CSW,4.590000000000002,1,0.03200194571829965,0.03172672
QUB,DIH,3.67,1,0.045852839895638944,0.045918293
QUB,DIS,13.170000000000002,3,0.004980354989742958,0.0049942126
QUB,ETS,6.91,2,0.015982585374975426,0.016076928
QUB,EXC,3.56,1,0.04809172052939365,0.04835156
QUB,FAN,4.51,1,0.032937967925006834,0.033256564
QUB,FOH,0.15000000000000002,0,0.7561436672967865,0.761559
QUB,FOT,4.069999999999999,1,0.03890308851619731,0.038806163
QUB,HAH,0.6000000000000001,0,0.39062499999999994,0.393596
QUB,HEO,11.609999999999998,2,0.006288829592213425,0.006456633
QUB,HFC,0.41000000000000003,0,0.5029928072028569,0.51553994
QUB,HIK,6.72,2,0.016778973932186098,0.01683691
QUB,HKU,0.8,0,0.30864197530864196,0.3160256
QUB,HOK,5.5600000000000005,1,0.023237656157049372,0.022973754
QUB,HOM,4.34,1,0.035068523895692184,0.035050556
QUB,HUH,3.63,1,0.04664853593569966,0.046962414
QUB,JOR,3.6700000000000004,1,0.045852839895638944,0.045918293
QUB,KAT,6.74,2,0.01669237292096495,0.016630473
QUB,KET,0.8600000000000001,0,0.28905075731298413,0.2978037
QUB,KOB,3.5100000000000002,1,0.04916396674549289,0.049279474
QUB,KOT,3.78,1,0.04376674077834773,0.043285854
QUB,KOW,6.58,1,0.017404501500268028,0.01749946
QUB,KSR,7.860000000000001,2,0.012738918414870902,0.01270016
QUB,KWF,5.000000000000002,1,0.027777777777777762,0.027540306
QUB,KWH,5.070000000000002,1,0.02714079831944175,0.027135413
QUB,KWT,3.31,1,0.053832612873531034,0.05407436
QUB,LAK,4.880000000000002,1,0.028923133879402086,0.02864047
QUB,LAT,3.2,1,0.056689342403628114,0.056594953
QUB,LCK,4.660000000000002,1,0.031215273008777713,0.03140393
QUB,LET,5.36,1,0.024722123333728883,0.02468423
QUB,LHP,0.45,0,0.4756242568370987,0.46975625
QUB,LMC,4.64,1,0.03143705045017857,0.031546436
QUB,LOF,3.83,1,0.04286528726172258,0.042769413
QUB,LOP,8.280000000000001,2,0.011611920332936976,0.011661855
QUB,LOW,4.66,1,0.031215273008777734,0.03140393
QUB,MEF,4.760000000000002,1,0.03014081790123455,0.029882992
QUB,MKK,3.71,1,0.04507733015988929,0.045015525
QUB,MOK,4.120000000000001,1,0.038146972656249986,0.038064804
QUB,MOS,12.649999999999999,2,0.005367038334071302,0.0053965542
QUB,NAC,7.62,1,0.013458153218382759,0.01347106
QUB,NOP,0.05,0,0.9070294784580498,0.9185788
QUB,NTK,3.43,1,0.05095567365948362,0.05117125
QUB,OCP,3.75,1,0.0443213296398892,0.0444596
QUB,OLY,7.42,1,0.014105088551745928,0.014108875
QUB,POA,0.7200000000000001,0,0.3380205516495402,0.33367243
QUB,PRE,4.1,1,0.03844675124951942,0.03852999
QUB,SHM,11.079999999999998,2,0.006852769615367748,0.006794795
QUB,SHS,4.59,1,0.032001945718299674,0.03172672
QUB,SHT,3.9799999999999995,1,0.04032193029144692,0.040317502
QUB,SHW,0.66,0,0.3628973726230222,0.35610315
QUB,SIH,8.74,2,0.010541006623968561,0.0105825905
QUB,SKM,4.01,1,0.039840478723192345,0.039920446
QUB,SKW,0.29000000000000004,0,0.6009254251547382,0.59157366
QUB,SOH,5.470000000000001,1,0.023888640712454817,0.023981387
QUB,SSP,4.500000000000002,1,0.0330578512396694,0.033256564
QUB,STW,9.009999999999998,2,0.009980029960049944,0.009746836
QUB,SUN,8.170000000000002,2,0.01189217601847568,0.011757334
QUB,SUW,6.79,2,0.01647878109751978,0.016577544
QUB,SWH,0.2,0,0.6944444444444444,0.68176067
QUB,SYP,0.74,0,0.33029462280354077,0.33367243
QUB,TAK,0.1,0,0.8264462809917354,0.83401775
QUB,TAP,4.22,1,0.036699402533726756,0.03658234
