Station Code,Station ID,Chinese Name,English Name,Lines,Is_Interchange,Barrier_Free_Facilities_Count,Facilities_AJ_Count,Facilities_HJ_Count,Facilities_MJ_Count,Facilities_VJ_Count,Station ID_poi,English Name_poi,Total_POI,GOV,CUF,TRS,RSF,CMF,UTI,BUS,MUF,SCH,AMD,TRH,REM,HNC,TRF,COM,BGD,Cluster,Cluster_Name
SHS,75.0,上水,Sheung Shui,EAL,False,22,3,5,4,10,75.0,Sheung Shui,228,7.0,4.0,26.0,56.0,31.0,5.0,11.0,17.0,35.0,4.0,0.0,10.0,16.0,2.0,4.0,0.0,1,Residential
SHT,68.0,沙田,Sha Tin,EAL,False,22,3,5,4,10,68.0,Sha Tin,150,18.0,9.0,16.0,29.0,20.0,9.0,15.0,12.0,6.0,1.0,0.0,8.0,2.0,2.0,3.0,0.0,2,Commercial
SHW,26.0,上環,Sheung Wan,ISL,False,21,3,5,4,9,26.0,Sheung Wan,325,51.0,11.0,21.0,43.0,51.0,13.0,14.0,27.0,25.0,41.0,5.0,8.0,9.0,3.0,3.0,0.0,0,Mixed
SIH,119.0,兆康,Siu Hong,TML,False,22,4,5,4,9,119.0,Siu Hong,115,7.0,2.0,21.0,15.0,6.0,9.0,3.0,9.0,10.0,0.0,0.0,9.0,9.0,4.0,2.0,9.0,2,Commercial
SKM,7.0,石硤尾,Shek Kip Mei,KTL,False,22,4,5,4,9,7.0,Shek Kip Mei,256,12.0,5.0,15.0,55.0,26.0,22.0,2.0,23.0,39.0,3.0,0.0,31.0,15.0,0.0,8.0,0.0,1,Residential
SKW,35.0,筲箕灣,Shau Kei Wan,ISL,False,21,3,5,4,9,35.0,Shau Kei Wan,230,7.0,9.0,22.0,38.0,21.0,10.0,7.0,27.0,27.0,2.0,0.0,28.0,23.0,3.0,6.0,0.0,1,Residential
SOH,89.0,海怡半島,South Horizons,SIL,False,18,2,5,4,7,89.0,South Horizons,102,4.0,5.0,12.0,22.0,9.0,2.0,6.0,5.0,23.0,0.0,0.0,5.0,3.0,2.0,4.0,0.0,2,Commercial
SSP,17.0,深水埗,Sham Shui Po,TWL,False,20,3,5,4,8,17.0,Sham Shui Po,299,25.0,3.0,18.0,60.0,39.0,8.0,8.0,26.0,32.0,30.0,2.0,19.0,24.0,1.0,4.0,0.0,1,Residential
STW,97.0,沙田圍,Sha Tin Wai,TML,False,21,2,5,4,10,97.0,Sha Tin Wai,159,6.0,5.0,10.0,29.0,17.0,10.0,6.0,21.0,24.0,0.0,0.0,10.0,10.0,3.0,8.0,0.0,1,Residential
SUN,54.0,欣澳,Sunny Bay,"DRL,TCL",True,20,2,5,4,9,54.0,Sunny Bay,14,0.0,0.0,4.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,Commercial
SUW,92.0,宋皇臺,Sung Wong Toi,TML,False,22,4,5,4,9,92.0,Sung Wong Toi,136,8.0,4.0,8.0,16.0,20.0,7.0,2.0,11.0,14.0,15.0,1.0,19.0,10.0,1.0,0.0,0.0,2,Commercial
SWH,34.0,西灣河,Sai Wan Ho,ISL,False,20,2,5,4,9,34.0,Sai Wan Ho,204,23.0,7.0,11.0,40.0,20.0,9.0,4.0,19.0,34.0,1.0,0.0,17.0,13.0,3.0,3.0,0.0,1,Residential
SYP,81.0,西營盤,Sai Ying Pun,ISL,False,21,3,5,4,9,81.0,Sai Ying Pun,261,21.0,12.0,11.0,32.0,31.0,10.0,5.0,19.0,50.0,18.0,1.0,12.0,26.0,9.0,4.0,0.0,1,Residential
TAK,33.0,太古,Tai Koo,ISL,False,21,2,5,5,9,33.0,Tai Koo,169,16.0,5.0,21.0,35.0,24.0,9.0,7.0,10.0,26.0,2.0,1.0,8.0,0.0,2.0,3.0,0.0,2,Commercial
TAP,72.0,大埔墟,Tai Po Market,EAL,False,21,2,5,4,10,72.0,Tai Po Market,127,2.0,7.0,9.0,41.0,12.0,8.0,4.0,8.0,16.0,3.0,0.0,7.0,7.0,1.0,2.0,0.0,2,Commercial
