Origin,Destination,O_Cluster,D_Cluster,Travel_Time_Min,Transfers,Target_Flow_Baseline,O_GOV,D_GOV,O_CUF,D_CUF,O_TRS,D_TRS,O_RSF,D_RSF,O_CMF,D_CMF,O_UTI,D_UTI,O_BUS,D_BUS,O_MUF,D_MUF,O_SCH,D_SCH,O_AMD,D_AMD,O_TRH,D_TRH,O_REM,D_REM,O_HNC,D_HNC,O_TRF,D_TRF,O_COM,D_COM,O_BGD,D_BGD,Predicted_Flow
ADM,MKK,Special/Industrial,Special/Industrial,0.22000000000000003,0,60806.234883095945,80.0,24.0,23.0,3.0,23.0,28.0,20.0,29.0,19.0,53.0,15.0,15.0,10.0,17.0,9.0,13.0,8.0,23.0,6.0,180.0,1.0,3.0,1.0,21.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,59201.21
ADM,MOK,Special/Industrial,Special/Industrial,0.63,0,51380.17990891641,80.0,22.0,23.0,5.0,23.0,36.0,20.0,40.0,19.0,98.0,15.0,15.0,10.0,17.0,9.0,23.0,8.0,19.0,6.0,303.0,1.0,2.0,1.0,39.0,1.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,54779.996
ADM,MOS,Special/Industrial,Residential,9.16,1,182.0478640957282,80.0,4.0,23.0,3.0,23.0,10.0,20.0,16.0,19.0,12.0,15.0,4.0,10.0,5.0,9.0,8.0,8.0,15.0,6.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,225.34526
ADM,NAC,Special/Industrial,Residential,4.9,1,670.1522550991094,80.0,9.0,23.0,3.0,23.0,22.0,20.0,11.0,19.0,11.0,15.0,4.0,10.0,4.0,9.0,15.0,8.0,19.0,6.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,817.20624
ADM,NOP,Special/Industrial,Commercial Hub,0.38,0,25633.270321361062,80.0,11.0,23.0,2.0,23.0,24.0,20.0,28.0,19.0,29.0,15.0,7.0,10.0,5.0,9.0,13.0,8.0,36.0,6.0,18.0,1.0,0.0,1.0,19.0,1.0,27.0,0.0,2.0,0.0,5.0,0.0,0.0,24844.418
ADM,NTK,Special/Industrial,Mixed,3.8899999999999997,1,1969.2122398283718,80.0,15.0,23.0,8.0,23.0,31.0,20.0,32.0,19.0,24.0,15.0,15.0,10.0,10.0,9.0,18.0,8.0,21.0,6.0,8.0,1.0,0.0,1.0,17.0,1.0,11.0,0.0,6.0,0.0,2.0,0.0,0.0,1698.3357
ADM,OCP,Special/Industrial,Residential,0.26,0,11156.462585034013,80.0,5.0,23.0,1.0,23.0,11.0,20.0,20.0,19.0,3.0,15.0,19.0,10.0,3.0,9.0,6.0,8.0,3.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,11390.076
ADM,OLY,Special/Industrial,Residential,5.08,1,806.3538781163435,80.0,6.0,23.0,2.0,23.0,20.0,20.0,26.0,19.0,25.0,15.0,4.0,10.0,10.0,9.0,4.0,8.0,11.0,6.0,11.0,1.0,0.0,1.0,7.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,875.9918
ADM,POA,Special/Industrial,Mixed,4.2,1,1453.8461538461538,80.0,10.0,23.0,5.0,23.0,17.0,20.0,35.0,19.0,27.0,15.0,15.0,10.0,6.0,9.0,16.0,8.0,31.0,6.0,0.0,1.0,0.0,1.0,9.0,1.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,1575.9847
ADM,PRE,Special/Industrial,Commercial Hub,0.86,0,21789.802289282,80.0,13.0,23.0,3.0,23.0,15.0,20.0,52.0,19.0,39.0,15.0,16.0,10.0,6.0,9.0,10.0,8.0,41.0,6.0,88.0,1.0,3.0,1.0,39.0,1.0,21.0,0.0,1.0,0.0,2.0,0.0,0.0,20263.402
ADM,QUB,Special/Industrial,Residential,0.48,0,11932.067202337474,80.0,15.0,23.0,2.0,23.0,17.0,20.0,18.0,19.0,20.0,15.0,8.0,10.0,3.0,9.0,8.0,8.0,10.0,6.0,3.0,1.0,1.0,1.0,8.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,11797.657
ADM,SHM,Special/Industrial,Residential,7.59,1,310.2939362851192,80.0,3.0,23.0,2.0,23.0,18.0,20.0,22.0,19.0,16.0,15.0,7.0,10.0,5.0,9.0,10.0,8.0,13.0,6.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,320.32416
ADM,SHS,Special/Industrial,Mixed,1.1,0,11167.34693877551,80.0,7.0,23.0,4.0,23.0,26.0,20.0,56.0,19.0,31.0,15.0,5.0,10.0,11.0,9.0,17.0,8.0,35.0,6.0,4.0,1.0,0.0,1.0,10.0,1.0,16.0,0.0,2.0,0.0,4.0,0.0,0.0,9756.854
ADM,SHT,Special/Industrial,Mixed,0.49,0,14593.937210035585,80.0,18.0,23.0,9.0,23.0,16.0,20.0,29.0,19.0,20.0,15.0,9.0,10.0,15.0,9.0,12.0,8.0,6.0,6.0,1.0,1.0,0.0,1.0,8.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,13642.092
ADM,SHW,Special/Industrial,Special/Industrial,0.17,0,51282.05128205129,80.0,51.0,23.0,11.0,23.0,21.0,20.0,43.0,19.0,51.0,15.0,13.0,10.0,14.0,9.0,27.0,8.0,25.0,6.0,41.0,1.0,5.0,1.0,8.0,1.0,9.0,0.0,3.0,0.0,3.0,0.0,0.0,52838.637
ADM,SIH,Special/Industrial,Mixed,5.25,1,635.904,80.0,7.0,23.0,2.0,23.0,21.0,20.0,15.0,19.0,6.0,15.0,9.0,10.0,3.0,9.0,9.0,8.0,10.0,6.0,0.0,1.0,0.0,1.0,9.0,1.0,9.0,0.0,4.0,0.0,2.0,0.0,9.0,627.18005
ADM,SKM,Special/Industrial,Commercial Hub,3.39,1,2869.2254606399915,80.0,12.0,23.0,5.0,23.0,15.0,20.0,55.0,19.0,26.0,15.0,22.0,10.0,2.0,9.0,23.0,8.0,39.0,6.0,3.0,1.0,0.0,1.0,31.0,1.0,15.0,0.0,0.0,0.0,8.0,0.0,0.0,2599.3462
ADM,SKW,Special/Industrial,Commercial Hub,0.7699999999999999,0,15857.512209135304,80.0,7.0,23.0,9.0,23.0,22.0,20.0,38.0,19.0,21.0,15.0,10.0,10.0,7.0,9.0,27.0,8.0,27.0,6.0,2.0,1.0,0.0,1.0,28.0,1.0,23.0,0.0,3.0,0.0,6.0,0.0,0.0,15564.759
ADM,SOH,Special/Industrial,Residential,1.9800000000000002,0,2480.9693257060485,80.0,4.0,23.0,5.0,23.0,12.0,20.0,22.0,19.0,9.0,15.0,2.0,10.0,6.0,9.0,5.0,8.0,23.0,6.0,0.0,1.0,0.0,1.0,5.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,2655.5703
